global_map_order,event_id,team,elo_after,result
1,owcs_2024_asia_s1_pacific,RTFM,1412.00,win
1,owcs_2024_asia_s1_pacific,Personate Gang,1388.00,loss
2,owcs_2024_asia_s1_pacific,RTFM,1423.17,win
2,owcs_2024_asia_s1_pacific,Personate Gang,1376.83,loss
3,owcs_2024_asia_s1_pacific,RTFM,1433.58,win
3,owcs_2024_asia_s1_pacific,Personate Gang,1366.42,loss
4,owcs_2024_asia_s1_pacific,Bleed Esports,1412.00,win
4,owcs_2024_asia_s1_pacific,Fade Altair,1388.00,loss
5,owcs_2024_asia_s1_pacific,Bleed Esports,1423.17,win
5,owcs_2024_asia_s1_pacific,Fade Altair,1376.83,loss
6,owcs_2024_asia_s1_pacific,Bleed Esports,1433.58,win
6,owcs_2024_asia_s1_pacific,Fade Altair,1366.42,loss
7,owcs_2024_asia_s1_pacific,Far East Society,1412.00,win
7,owcs_2024_asia_s1_pacific,321 Diving,1388.00,loss
8,owcs_2024_asia_s1_pacific,Far East Society,1423.17,win
8,owcs_2024_asia_s1_pacific,321 Diving,1376.83,loss
9,owcs_2024_asia_s1_pacific,Far East Society,1433.58,win
9,owcs_2024_asia_s1_pacific,321 Diving,1366.42,loss
10,owcs_2024_asia_s1_pacific,99DIVINE,1412.00,win
10,owcs_2024_asia_s1_pacific,Teenage Rising,1388.00,loss
11,owcs_2024_asia_s1_pacific,99DIVINE,1423.17,win
11,owcs_2024_asia_s1_pacific,Teenage Rising,1376.83,loss
12,owcs_2024_asia_s1_pacific,Teenage Rising,1390.42,win
12,owcs_2024_asia_s1_pacific,99DIVINE,1409.58,loss
13,owcs_2024_asia_s1_pacific,99DIVINE,1420.92,win
13,owcs_2024_asia_s1_pacific,Teenage Rising,1379.08,loss
14,owcs_2024_asia_s1_pacific,Bleed Esports,1445.58,win
14,owcs_2024_asia_s1_pacific,RTFM,1421.58,loss
15,owcs_2024_asia_s1_pacific,Bleed Esports,1456.75,win
15,owcs_2024_asia_s1_pacific,RTFM,1410.41,loss
16,owcs_2024_asia_s1_pacific,Bleed Esports,1467.16,win
16,owcs_2024_asia_s1_pacific,RTFM,1400.00,loss
17,owcs_2024_asia_s1_pacific,Far East Society,1445.14,win
17,owcs_2024_asia_s1_pacific,99DIVINE,1409.36,loss
18,owcs_2024_asia_s1_pacific,99DIVINE,1422.59,win
18,owcs_2024_asia_s1_pacific,Far East Society,1431.91,loss
19,owcs_2024_asia_s1_pacific,99DIVINE,1434.91,win
19,owcs_2024_asia_s1_pacific,Far East Society,1419.59,loss
20,owcs_2024_asia_s1_pacific,99DIVINE,1446.38,win
20,owcs_2024_asia_s1_pacific,Far East Society,1408.12,loss
21,owcs_2024_asia_s1_pacific,Bleed Esports,1478.45,win
21,owcs_2024_asia_s1_pacific,99DIVINE,1435.10,loss
22,owcs_2024_asia_s1_pacific,Bleed Esports,1488.96,win
22,owcs_2024_asia_s1_pacific,99DIVINE,1424.59,loss
23,owcs_2024_asia_s1_pacific,Bleed Esports,1498.76,win
23,owcs_2024_asia_s1_pacific,99DIVINE,1414.79,loss
24,owcs_2024_asia_s1_pacific,Fade Altair,1378.42,win
24,owcs_2024_asia_s1_pacific,Personate Gang,1354.42,loss
25,owcs_2024_asia_s1_pacific,Fade Altair,1389.59,win
25,owcs_2024_asia_s1_pacific,Personate Gang,1343.25,loss
26,owcs_2024_asia_s1_pacific,Fade Altair,1400.00,win
26,owcs_2024_asia_s1_pacific,Personate Gang,1332.84,loss
27,owcs_2024_asia_s1_pacific,Teenage Rising,1390.64,win
27,owcs_2024_asia_s1_pacific,321 Diving,1354.86,loss
28,owcs_2024_asia_s1_pacific,321 Diving,1368.09,win
28,owcs_2024_asia_s1_pacific,Teenage Rising,1377.41,loss
29,owcs_2024_asia_s1_pacific,321 Diving,1380.41,win
29,owcs_2024_asia_s1_pacific,Teenage Rising,1365.09,loss
30,owcs_2024_asia_s1_pacific,321 Diving,1391.88,win
30,owcs_2024_asia_s1_pacific,Teenage Rising,1353.62,loss
31,owcs_2024_asia_s1_pacific,RTFM,1412.00,win
31,owcs_2024_asia_s1_pacific,Fade Altair,1388.00,loss
32,owcs_2024_asia_s1_pacific,RTFM,1423.17,win
32,owcs_2024_asia_s1_pacific,Fade Altair,1376.83,loss
33,owcs_2024_asia_s1_pacific,RTFM,1433.58,win
33,owcs_2024_asia_s1_pacific,Fade Altair,1366.42,loss
34,owcs_2024_asia_s1_pacific,Far East Society,1419.56,win
34,owcs_2024_asia_s1_pacific,321 Diving,1380.44,loss
35,owcs_2024_asia_s1_pacific,Far East Society,1430.21,win
35,owcs_2024_asia_s1_pacific,321 Diving,1369.79,loss
36,owcs_2024_asia_s1_pacific,321 Diving,1383.85,win
